company_name,address,company_type,description
A Special Fit Inc.,"P.O. Box 35133 Dallas, Texas 75235 United States",Legal,A community-based organization that strives to educate the hard to reach individuals about the importance of a healthy diet and active lifestyle.
"A SQUARED VENTURES, INC.","1970 BROADWAY, SUITE 1100 Oakland, California 94612 United States",Buliding & Construction,CONSTRUCTION MANAGEMENT; MANAGEMENT & PUBLIC RELATIONS;
A STEP ABOVE,"163 STIRLING DR Vacaville, California 95687 United States",Uncategorized,ELEVATOR;
A T DALLAS TRUCKING LLC,"308 PICKETVILLE ROAD Jacksonville, Florida 32220- United States",Transportation,DUMP TRUCK HAULING AND HEAVY EQUIPMENT OPERATION
A Taste Of Africa LLC,"Dulles Town Center Mall 21100 Dulles Town Circle #297 STERLING, Virginia 20166 United States",Specialty Stores,A Taste Of Africa specializes in African Art Sculpture from different parts of Africa.
A Taste of Soul Homestyle Diner,"5638 Diaz Ave Fort Worth, Texas 76107 United States",Food & Dining,"A soul food restaurant in Fort Worth, TX."
A TEX-DBE INC,"P O BOX 266735 Houston, Texas 77207 United States",Buliding & Construction,"PAVING CONTRACTOR & BRIDGE BUILDER, MARINE CONSTRUCTION SERVICES"
A to Z Lawn Care,"PMB #321 8206-1200 Providence Rd. Charlotte, North Carolina 28277-9708 United States",Home & Garden,A to Z Lawn Care
A TO Z PROPOSALS PLUS INC,"816C TRINITY AVENUE BRONX, New York 10456 United States",Business Services,A TO Z PROPOSALS PLUS INC
A TO Z RECYCLING,"8105 EDGEWATER DRIVE STE. 225 Oakland, California 94621 United States",Uncategorized,WASTE COLLECTION AND DISPOSAL;
A TOP QUALITY SERVICES,"490 WINSLOW Buffalo, New York 14211 United States",Buliding & Construction,A TOP QUALITY SERVICES
A VELASQUEZ SMITH CORPORATE SERVICES,"1622 NEW YORK AVENUE BROOKLYN, New York 11210 United States",Business Services,A VELASQUEZ SMITH CORPORATE SERVICES
A W I SECURITY AND INVESTIGATIONS INC,"202 E 179TH STREET SUITE GB BRONX, New York 10457 United States",Business Services,A W I SECURITY AND INVESTIGATIONS INC
A WAY TRANSPORT LLC,"110-39 196TH STREET SAINT ALBANS, New York 11412 United States",Business Services,A WAY TRANSPORT LLC
A WILLIAMS TRUCKING & BACKHOE TRENCHING,"225 THIRD AVENUE BROOKLYN, New York 11217 United States",Buliding & Construction,A WILLIAMS TRUCKING & BACKHOE TRENCHING
"A"" Safe Hands Transportation LLC""","403 Sherwood Ct Eden, North Carolina 27288 United States",Transportation,"A"" Safe Hands Transportation LLC"""
"A&A Facility Services, Inc.","503 Cornelius Harnett Dr. Wilmington, North Carolina 28401 United States",Uncategorized,"A&A Facility Services, Inc."
"A&A OF NC, INC","2300 Englert Drive Suite K Durham, North Carolina 27713 United States",Uncategorized,"A&A OF NC, INC"
A&H Janitorial Services LLC,34346 Levi Court 85142,Real Estate & Insurance ,Janitorial Services
A&K JANITORIAL SERVICES,"8017 RUXTON CT Sacramento, California 95828 United States",Real Estate & Insurance ,JANITORIAL SERVICES;
"A&R BRAKE & TOWING, A TEXAS LIMITED","7340 DILLON ST. Houston, Texas 77061-2720 United States",Automotive Services,Towing Service 24 hrs 7 days a week
A+ ACCURACY INSURANCE AGENCY INC,"2901 W BUSCH BOULEVARD STE 908 Tampa, Florida 33618-4574 United States",Finance,PROFESSIONAL LIABILITY GENERAL CONTRACTORS LIABILITY PROPERTY AND CASUALTY INSURANCE
A-1 Building Maintenance,"PO Box 28898 Raleigh, NC 27611 105 Brookshade Drive Garner, North Carolina 27529 United States",Uncategorized,A-1 Building Maintenance
A-1 MOBILE SERVICES,"19223 HARLAN AVENUE Carson, California 90746 United States",Professional Services,"CONSULTANT, NON ENGINEERING; Investigative Services;"
A-1 WATKINS PEST & TERMITE CONTROL,"1319 W. WILLOW STREET Long Beach, California 90810 United States",Home & Garden,DISINFECTING AND PEST CONTROL;
"A-1-KUH-MUTER SERVICES, LLC","224 CIMARRON DRIVE Vallejo, California 94589 United States",Professional Services,"CONSULTANT, NON ENGINEERING;"
"A-CONNECTION, INC.","4102 LOWELL DRIVE Pikesville, Maryland 21208 United States",Buliding & Construction,Our company is your #1 source for your general contracting needs. We are committed to providing unparalleled service in our areas of expertise which
A-List Signs & Banners,"4323 N. Selland Suite 101 Fresno, California 93722 United States",Uncategorized,"Window signage (decals, perforation, vinyl, cling), banners, yard signs, a-frames, retractable banners, flags and vehicle graphics."
A-M ELECTRIC INC,"PO BOX 6484 SYR, New York 13217 United States",Buliding & Construction,A-M ELECTRIC INC
A-MAVEN RECRUITER,"1095 EVERGREEN CIR STE 200 The Woodlands, Texas 77380-3646 United States",Professional Services,We provide recruiting services for the IT and Engineering industries. Our focus in Engineering has been oil and gas engineering and civil. Our focus
A-PLUS EVENTS LLC,"10075 ROYAL LN # 1155 Dallas, Texas 75238 United States",Business Services,All Other Personal Services
A-R-M CONSTRUCTION,"4716 EAST 4TH STREET Stockton, California 95215 United States",Buliding & Construction,BUILDING CONSTRUCTION; SMALL STRUCTURES;
"A-ROCKET MOVING & STORAGE, INC.","3401 CORDER STREET Houston, Texas 77021 United States",Uncategorized,"Commercial and residential moving, warehousing, crating, storage service."
A-SURE DESIGN & TECHNICAL SERVICES,"8439 GALLAHAD ST. Houston, Texas 77078-2850 United States",Buliding & Construction,Insurance Adjuster: Verify Replacement cost for property loss and damages from diasters; provide construction cost estimates for new/proposed project.
"A-T SPECIALTIES, LLC","P.O. BOX 4157 New Orleans, Louisiana 70178-4157 United States",Industrial Supplies & Services,081-Supply of Instruments and Related Products
"A-TEAM SECURITY & EVENT SERVICES, INC.","885 NORTH CIRCULO ZAGALA Tucson, Arizona 85745 United States",Professional Services,SECURITY & EVENT SERVICES
"A. Braddy Enterprises, Inc.","P.O. Box 41202 Providence, Rhode Island 02940 United States",Transportation,trucking
"A. C. HARRIS CONSTRUCTION CO., INC.","5331 SIDNEY ROAD MT. AIRY, Maryland 21771 United States",Buliding & Construction,single family home construction
"A. JAMES EDITING, INC.","2204 SE WOODWARD ST Portland, Oregon 97202 United States",Professional Services,MARKETING CONSULTING SERVICES
"A. L. JACKSON & COMPANY, P.A.","1221 BRICKELL AVENUE, 9TH FLOOR Miami, Florida 33131 United States",Information Technology,A. L. Jackson & Company has or is currently providing Information Technology Solution (ITS) services to some of the largest public agencies in South F
A. S. PHYSIQUES,"5959 RICHMOND AVENUE SUITE 340 Houston, Texas 77057 United States",Uncategorized,"Massage Therapy, Skin Care, Spa Treatments, Facials, Waxing, Bath & Body & Facial Products"
"A. SELAH, LLC","10650 S. GRAMERCY PLACE Los Angeles, California 90047 United States",Professional Services,"CONSULTANT, NON ENGINEERING; PUBLIC RELATIONS;"
"A. THOMPSON & ASSOCIATES, INC.","P. O. BOX 176 Deale, Maryland 20751 United States",Uncategorized,"A. THOMPSON & ASSOCIATES, INC."
"A. WASH & ASSOCIATES, INCORPORATED","4649 NANNIE HELEN BURROUGHS AVE, NE Washington, District of Columbia 20019 United States",Uncategorized,"A. WASH & ASSOCIATES, INCORPORATED"
A.A.L.A. ADDISON,"17907 MACKESON CT Carson, California 90746 United States",Transportation,BOTTOM DUMP TRUCKING;
A.B. LEATHERWOOD LLC,"2808 GRANTS LAKE BLVD #501 Sugar Land, Texas 77479-1379 United States",Information Technology,"Our core business portfolio includes Information Technology project management, service delivery, auditing, virtual worlds deployment, web design/prog"
A.C.C.T SYSTEMATIC PAINTING,"12402 MARSHALL DR Magnolia, Texas 77354-4935 United States",Buliding & Construction,"Our specilties are painting-wall covering, sheetrock repairs which includes both residential - commercial interior- exterior."
A.C.P. MT AUTOMATED CLAIMS PROCESSING,"6207 SHERIDAN AVE 290 PLAZA EAST Austin, Texas 78723-1060 United States",Uncategorized,Medical claims administration and office management medical records electronic...
"A.E.W. DELIVERY, LLC","6723 ASHLAND FOREST DRIVE Houston, Texas 77088 United States",Transportation,"A.E.W. Delivery, LLC is a flatbed freight transportation service delivering throughout Texas; hauling permit,specialized, truckload & less than truckl"
A.J. DUFFEY AND COMPANY,"1716 WEST POINT DRIVE Carrollton, Texas 75007 United States",Buliding & Construction,CONSTRUCTION & CONSTRUCTION MGMT.
"A.L. Demings Business Planning, LLC","P.O. Box 682720 Orlando, Florida 32868 United States",Professional Services,"Providing Original Business Plans, Business Plan Adjustments, Business Plan Consulting and start up funding in Orlando Florida"
"A.L. INGRAM CONSTRUCTION, LLC","3904 TEVIS CIRCLE Randallstown, Maryland 21133 United States",Buliding & Construction,"A.L. INGRAM CONSTRUCTION, LLC"
"A.L. RICHARD, LLC","11441 ALMONASTER STREET New Orleans, Louisiana 70129 United States",Real Estate,Hazardous Waste Removal; Solid Waste Disposal; Real Estate Sales; Hazardous Waste Removal;TEMPORARY HELP SERVICES
A.L. TURNER ACADEMIC INTERVENTION,"2201 MAIN ST STE 415 Dallas, Texas 75201-4327 United States",Uncategorized,"Educational Programs;Training &Development For Classroom /Discipline Management; Parenting Classes,Nurturing Fathers Program, Anger Management,Adult&"
"A.L.L. CONSTRUCTION, INC.","7024 TROY HILL DRIVE, SUITE H Elkridge, Maryland 21075 United States",Buliding & Construction,"A.L.L. CONSTRUCTION, INC."
"A.L.R. Architecture, PC","517 East Boulevard Suite 100 Charlotte, North Carolina 28203 United States",Buliding & Construction,"A.L.R. Architecture, PC"
"A.L.W. INSURANCE AGENCY, PLLC","3102 MAPLE AVE STE. 400 Dallas, Texas 75201-1220 United States",Finance,"All Insurance, Life & Health Insurance, Commerical, Property and Casualty Insurance"
"A.M. & SON ELECTRIC, LLC","2300 YORK ROAD, SUITE 208 TIMONIUM, Maryland 21093 United States",Buliding & Construction,"A.M. & SON ELECTRIC, LLC"
A.O. PHILLIPS & ASSOCIATES,"4615 SOUTHWEST FREEWAY, SUITE 510 Houston, Texas 77027 United States",Finance & Legal,"Mgmnt Services, Small Business Development, Technical Assistance & Business Consulting Services/ Construction And Program Mgmnt/Accounting"
A.P.F. CONTRACTORS,"303 WHITAKER ROAD Pasadena, Maryland 21122 United States",Uncategorized,A.P.F. CONTRACTORS
"A.R. MOVERS, LLC","5302 PLAINFIELD AVENUE Baltimore, Maryland 21206 United States",Uncategorized,"A.R. MOVERS, LLC"
A.S. TOURS INC.,"3834 Lewin Ave. Baltimore, Maryland 21207 United States",Professional Services,A.S. Midway Trailways provides transportation for many celebrities and entertainers in the Baltimore area. Our reputation of being one of the best has
A.S.A.P. HEALTHCARE STAFFING LLC,"126 TOMROB San Antonio, Texas 78220 United States",Business Services,"provides staffing to healthcare rganizations (RN, LVN, CNA, and Ancillary)"
A.W. WILLIS & ASSOCIATES,"5917 LOS ANGELES Houston, Texas 77026 United States",Buliding & Construction,"Property Mgmt, Construction Including Demolition, Construction Mgmt & Plumbing"
"A.W.A. MECHANICAL, INC.","1445 N. ROLLING ROAD Baltimore, Maryland 21228 United States",Uncategorized,"A.W.A. MECHANICAL, INC."
"A/C POWER, INC.","6908 EASTERN AVENUE, SUITE C Baltimore, Maryland 21224 United States",Uncategorized,"A/C POWER, INC."
"A/E DATA INTEGRATION, INC.","15907 CRANBERRY COURT Dumfries, Virginia 22025 United States",Uncategorized,"A/E DATA INTEGRATION, INC."
A1 LABORATORY,"P. O. BOX 20553 Houston, Texas 77225-0553 United States",Professional Services,"Specializing in specimen collections for DOT, NON-DOT, legal or employment drug testing."
"A1 MEDICAL SUPPLIES, LLC","219 SOUTHEASTERN COURT Baltimore, Maryland 21221 United States",Uncategorized,"A1 MEDICAL SUPPLIES, LLC"
A1 PRECISION BUILDERS,"5404 SEGOVIA WAY Bakersfield, California 93306 United States",Buliding & Construction,"BUILDING CONSTRUCTION; SMALL STRUCTURES; CARPENTRY; ADDITIONS, ALTERATIONS OR REPAIRS;"
"A1 PROTECTIVE SERVICES, INC.","1601 DONNER AVENUE, STE. #2 San Francisco, California 94124 United States",Professional Services,SECURITY SYSTEMS SERVICES;
"A1 TAXPERTS, INC.","623 REISTERSTOWN ROAD Pikesville, Maryland 21208 United States",Uncategorized,"A1 TAXPERTS, INC."
"A1 Transport SE, LLC","11414 W. Park Place Suite 202 Milwaukee, Wisconsin 53223 United States",Uncategorized,Transit Service Provider
"A10 Clinical Solutions, Inc.","2000 Regency Parkway Suite 675 Cary, North Carolina 27518 United States",Uncategorized,"A10 Clinical Solutions, Inc."
AA ADVERTISING CONSULTING,"5301 E. COMMERCE WAY, UNIT 77102 Sacramento, California 95835 United States",Professional Services,ADVERTISING;
AA ENGINEERING,"8001 FLOWER AVENUE, #2 Takoma Park, Maryland 20912 United States",Professional Services,AA ENGINEERING
"AA REFUSE, INC.","P.O. BOX 5688 DERWOOD, Maryland 20855 United States",Uncategorized,"AA REFUSE, INC."
"AAA DATA COMMUNICATIONS, INC.","201 E ARAPAHO ROAD SUITE 200 Richardson, Texas 75081-6205 United States",Uncategorized,"Full service telecommunications network infrastructure support including installation, service & support of voice/data cable plants and fiber optic ne"
"AAA DRAIN AND VIDEO, LLC","2206 SENATOR AVENUE District Heights, Maryland 20747 United States",Uncategorized,"AAA DRAIN AND VIDEO, LLC"
AAA INVESTIGATIONS INC,"5904 S. COOPER ST SUITE 104 PMB 92 Arlington, Texas 76002 United States",Professional Services,Investigation Services
"AAA SANITATION, INC.","1500 W. CLAUDE STREET Tyler, Texas 75702 United States",Uncategorized,MISCELLANEOUS; UNDERGROUND AND UTILITY WORK.
"AAA TROPHY SHOP AND ETC., INC.","4830 CORNELL DR. Beaumont, Texas 77705 United States",Uncategorized,"trophies,plaques,awards of all types, medals, etc."
AAC ENTERPRISE LLC,"24 Cabarrus ave 1112 piney church rd Concord, North Carolina 28025 United States",Uncategorized,AAC ENTERPRISE LLC
AACCOLADE BUSINESS SERVICES,"229 SHADOW GRASS AVE Fort Worth, Texas 76120 United States",Business Services,BUSINESS IN GENERAL MERCHANDISING AND BOOKKEPING
AADVANTAGE CARPET CLEANING,"693 NECTAR DR. Brentwood, California 94512 United States",Real Estate & Insurance ,SERVICES TO BUILDINGS; JANITORIAL SERVICES;
"AAE SYSTEMS & SOLUTIONS, INC.","8230 CANNING TERRACE Greenbelt, Maryland 20770 United States",Uncategorized,"AAE SYSTEMS & SOLUTIONS, INC."
"AAH CONSULTANTS, LLC","4200 FORBES BOULEVARD, SUITE 203 LANHAM, Maryland 20706 United States",Uncategorized,"AAH CONSULTANTS, LLC"
AAP CONCRETE,"2141 COURTLAND AVENUE Oakland, California 94601 United States",Buliding & Construction,CONCRETE & CEMENT; GUARD RAILINGS & BARRIERS; PAVEMENT MARKERS; TOOLS;
AARGO SERVICES INC,"112 EAST 128TH STREET New York, New York 10035 United States",Business Services,AARGO SERVICES INC
"AARON G. ADAMS AND ASSOCIATES, LLC","2600 S. LOOP WEST #300K Houston, Texas 77054-2606 United States",Finance & Legal,Legal Services.
"AARON GROUP, INC./THE","754 WOODSON STREET Atlanta, Georgia 30315 United States",Professional Services,Management; Planning; Marketing; Contract Compliance; Business Process Analysis; Training Development; Public Relations; Broker Fees Promotional Produ
AARON LIFT SYSTEMS LLC,"498 MADISON STREET BROOKLYN, New York 11221 United States",Business Services,AARON LIFT SYSTEMS LLC
"AARONS TRUCKING, INC.","18600 STRAWBERRY KNOLL ROAD Gaithersburg, Maryland 20879 United States",Transportation,"AARONS TRUCKING, INC."
"AASIM SECURITY AGENCY, INC.","P. O. BOX 67319 Baltimore, Maryland 21215 United States",Professional Services,"AASIM SECURITY AGENCY, INC."
"AAVISE DESIGN, LLC","3351 CORRIDOR MARKETPLACE, SUITE 400-23 Laurel, Maryland 20724 United States",Uncategorized,"AAVISE DESIGN, LLC"
"AB BROADCASTING CONSULTANT, LLC","PO BOX 1048 Euless, Texas 76039 United States",Uncategorized,"AB Broadcasting consultant LLC, provides professional services in the area of Television broadcast operations."
AB ENVIRONMENTAL CARE,"140-19 169TH STREET ROCHDALE, New York 11434 United States",Buliding & Construction,AB ENVIRONMENTAL CARE
"AB Transport, Inc.","210 2nd St. SE Suite 204 Cedar Rapids, Iowa 52401 United States",Transportation,AB Transport is a certified minority business enterprise providing transportation service throughout North America.
ABA Courier,"1721 Riverknoll Dr Raleigh, North Carolina 276104583 United States",Uncategorized,ABA Courier
"ABAXENT, LLC","N28 W23050 Roundy Drive Suite 2A Pewaukee, Wisconsin 53072 United States",Uncategorized,Consultant Employment Services Computing Services
"ABBA CONSTRUCTION CONSULTANTS, LLC.","502 HAVERHILL ROAD JOPPA, Maryland 21085 United States",Buliding & Construction,"ABBA CONSTRUCTION CONSULTANTS, LLC."
